Series Name,"Series Code","Country Name","Country Code","1990 [YR1990]","2000 [YR2000]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]"
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","East Asia & Pacific (excluding high income)","EAP","","42972167666.6688","108629606654.891","124380351929.087","133204691429.357","146360093385.005","139686066478.154","143314101748.469","148841327653.533","157149964268.306","172992700953.759",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","East Asia & Pacific (IDA & IBRD countries)","TEA","","42963419911.0673","108569200000","124318480000","133146690000","146294000000","139647690965.168","143291050735.654","148805003213.501","157079882684.374","172912858116.288",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Euro area","EMU","","181263000000","300207000000","341952000000","331275000000","356676000000","373528000000","334653664000","344335000000","383087000000","416234000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Europe & Central Asia","ECS","","255345449061.853","466919078254.309","533433741189.328","526240632453.783","569385942931.877","596026577389.585","535890025562.516","540021948653.339","599323758660.465","651745620764.349",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Europe & Central Asia (excluding high income)","ECA","","15082645991.9583","57825048203.9877","69132792141.4291","74045746984.1519","82692851244.8924","81467675221.1564","69137753188.0503","61862833924.3923","72680700915.1235","84247072832.165",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Europe & Central Asia (IDA & IBRD countries)","TEC","","24546313942.4226","77813261956.6214","92419596480.6592","96751949618.4823","106879146862.5","106700360950.649","91620965566.6822","85956147578.1978","100957558187.491","115393746207.355",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","European Union","EUU","","207298000000","355021000000","402259000000","388517000000","417092000000","437835000000","392393664000","407323000000","454803000000","494299000000",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Fragile and conflict affected situations","FCS","","3771478108.28659","22233126978.2052","16461255619.6596","18087879931.3768","18958042702.7099","20235289827.1653","19995251084.4156","21376935419.2326","","",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","Heavily indebted poor countries (HIPC)","HPC","","3017933688.54512","9820739384.06791","12037942889.6483","13739651719.0227","14460495318.9665","15248733085.7375","14934272965.8991","15832007588.9445","16609510287.4329","18769093901.0295",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","High income","HIC","","450560183227.675","792115863049.275","898142863326.402","919328951745.577","990180771810.652","1060279005780.23","1017874930678.45","1043153559055.59","1120354471596.68","1192664064668.11",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","IBRD only","IBD","","114821729598.504","305631756534.373","337497306670.084","358564571073.405","381705439294.824","386541021437.681","373971891746.038","375397598518.173","418628894284.757","457654010623.443",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","IDA & IBRD total","IBT","","122888655213.97","333994319627.04","365007179706.419","388847452739.184","414154931072.832","422126543037.555","408311752780.459","411349524687.208","458439684569.304","500987504100.551",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","IDA blend","IDB","","2446369467.02079","5659400000","6483724349.99278","6507533395.92662","6493942824.6425","7495455525.06139","7006501513.07237","7493003091.14546","9614381210.88949","9894552426.88259",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","IDA only","IDX","","5826880074.78659","24134769552.5731","22166505507.5924","25292425868.1154","27704586910.8554","30261242010.3106","29464418802.3842","30821400716.0078","","",""
"International tourism, receipts (current US$)","ST.INT.RCPT.CD","IDA total","IDA","","8106640487.35762","28829060291.2609","27815397981.6514","30742621113.7605","32965968138.9477","36457847924.283","35172691663.5893","36975398885.8556","40920684383.7035","",""
