iso_code,continent,location,date,total_cases,total_deaths,total_cases_per_million,gdp_per_capita,cvd_death_rate,diabetes_prevalence,medical_doctors,ghs_score,health_expenditure_5y_avg,GDP per capita growth (annual %),"GNI, Atlas method (current US$)",Population density (people per sq. km of land area),"Population, total",Surface area (sq. km),Proportion of seats held by women in national parliaments (%),"International tourism, expenditures (% of total imports)","International tourism, receipts (% of total exports)",imports,lockdown_date,lockdown_type,household_avg_people,smokers_percentage,wage_and_salaried_workers_percentage_employed
GTM,North America,Guatemala,2020-06-23,13769.0,547.0,768.549,7423.808000000001,155.898,10.18,3.55,32.7,5.9789830446243295,1.15441380050436,75940720820.045,160.953779395297,17247807.0,108890.0,12.7,5.29295567705829,11.632336562982301,21608968518.9757,,None,4.81,,57.29112348556521
GUM,Oceania,Guam,2020-06-23,225.0,5.0,1333.073,,310.496,21.52,,,,-1.16298305304063,,306.977777777778,165768.0,540.0,,,,3178000000.0,,,,,88.09875049591066
GUY,South America,Guyana,2020-06-23,205.0,12.0,260.629,7435.047,373.159,11.62,8.02,31.7,4.959758967161178,3.5944710190175293,3717845151.2566094,3.9573482346964703,779004.0,214970.0,31.9,2.63362399948619,1.7530604505214098,1971924220.6235,,None,3.8,,67.32744491577148
HND,North America,Honduras,2020-06-23,13356.0,395.0,1348.463,4541.795,240.208,7.21,3.09,27.6,8.076899647712706,1.98232777609925,22272051988.2236,85.6870319063366,9587522.0,112490.0,21.1,4.37791872007706,10.2431519476378,14145631107.5749,20/03/2020,Partial,4.47,,47.207723789215066
HRV,Europe,Croatia,2020-06-23,2336.0,107.0,569.025,22669.797,253.782,5.59,30.0,53.3,6.724094301462174,3.55188710880397,57235668668.1884,73.04937455325229,4087843.0,56590.0,18.5,5.54541718833406,39.3186672147487,31237599093.9977,22/03/2020,Partial,2.8,37.128,88.0615612792969
HTI,North America,Haiti,2020-06-23,5211.0,88.0,457.004,1653.1729999999998,430.548,6.65,2.34,31.5,8.027283251285553,0.199179706745653,8913582852.359491,403.59854862118993,11123176.0,27750.0,2.5,10.5625286767651,34.8631710747482,4883278332.36605,,None,4.29,13.101,26.240239582061772
HUN,Europe,Hungary,2020-06-23,4107.0,573.0,425.14,26777.561,278.296,7.55,34.08,54.0,7.067919224500656,5.22733255137207,144335865294.525,107.981486799956,9775564.0,93030.0,12.6,2.5722078309251497,7.12570855374391,128214336337.989,16/03/2020,Full,2.36,30.839999999999996,89.75716987609864
IDN,Asia,Indonesia,2020-06-23,46845.0,2500.0,171.265,11188.744,342.8640000000001,6.32,4.27,56.6,3.0395406857132903,3.98560422637033,1026759691227.39,147.75219008926,267663435.0,1913580.0,19.8,5.31866223308219,7.36085740221671,211480972417.496,15/03/2020,Full,3.86,39.8165,46.88498357772825
IMN,Europe,Isle of Man,2020-06-23,336.0,24.0,3951.454,,,,,,,,,147.50350877193,84077.0,570.0,,,,,,,2.28,,
IND,Asia,India,2020-06-23,440215.0,14011.0,318.995,6426.674,282.28,10.39,8.57,46.5,3.6021219938993485,5.709116885485631,2727893916562.77,454.93807257524696,1352617328.0,3287259.0625,11.8,4.0111352655606005,5.426573070488889,614031738088.427,24/03/2020,Full,4.57,11.3435,23.34935580253598
IRL,Europe,Ireland,2020-06-23,25383.0,1717.0,5140.553,67335.293,126.459,3.28,33.13,59.0,8.368094414472573,6.838201454920911,297935848808.302,70.6533459137756,4867309.0,70280.0,22.2,2.17136602578505,3.13566641130987,436973743465.96,12/03/2020,Full,2.81,24.363500000000002,85.45565990448
IRN,Asia,Iran,2020-06-23,207525.0,9742.0,2470.743,19082.62,270.308,9.59,15.84,37.7,7.6374118775129345,,,50.222420123283996,81800269.0,1745150.0,5.9,,,106163460504.33,15/03/2020,Full,3.51,11.0515,55.41360977172852
